指标名称,唐山市AQI全国当日排名,唐山市PM2.5,唐山市AQI
2018/2/18,48,97,128
2018/2/19,18,144,192
2018/2/20,45,91,120
2018/2/21,38,101,133
2018/2/22,92,63,85
2018/2/23,14,98,129
2018/2/24,201,33,56
2018/2/25,135,56,77
2018/2/26,13,145,193
2018/2/27,33,134,178
2018/2/28,37,125,165
2018/3/1,237,22,55
2018/3/2,76,68,92
2018/3/3,16,148,198
2018/3/4,11,80,155
2018/3/5,51,47,73
2018/3/6,72,46,74
2018/3/7,50,64,87
2018/3/8,124,49,68
2018/3/9,81,70,94
2018/3/10,63,88,117
2018/3/11,97,75,100
2018/3/12,14,176,226
2018/3/13,5,345,395
2018/3/14,15,157,207
2018/3/15,127,44,86
2018/3/16,139,40,64
2018/3/17,45,59,95
2018/3/18,32,102,134
2018/3/19,79,70,94
2018/3/20,196,30,55
2018/3/21,66,56,83
2018/3/22,24,91,120
2018/3/23,4,189,239
2018/3/24,3,169,219
2018/3/25,23,109,143
2018/3/26,15,118,155
2018/3/27,21,113,148
2018/3/28,11,91,342
2018/3/29,134,40,92
2018/3/30,97,66,95
2018/3/31,8,138,183
2018/4/1,5,170,220
2018/4/2,11,157,207
2018/4/3,116,30,101
2018/4/4,246,32,58
2018/4/5,110,58,79
2018/4/6,101,40,88
2018/4/7,292,24,55
2018/4/8,176,50,80
2018/4/9,80,78,105
2018/4/10,138,61,102
2018/4/11,224,32,67
2018/4/12,72,39,87
2018/4/13,57,44,77
2018/4/14,94,28,82
2018/4/15,202,26,66
2018/4/16,98,56,108
2018/4/17,52,66,123
2018/4/18,24,82,140
2018/4/19,14,117,157
2018/4/20,11,100,175
2018/4/21,37,65,88
2018/4/22,142,28,62
2018/4/23,43,32,77
2018/4/24,92,34,80
2018/4/25,83,43,100
2018/4/26,25,76,129
2018/4/27,37,48,134
2018/4/28,6,94,192
2018/4/29,30,62,157
2018/4/30,220,34,64
2018/5/1,86,58,90
2018/5/2,220,36,63
2018/5/3,215,20,69
2018/5/4,45,50,119
2018/5/5,7,62,156
2018/5/6,9,54,116
2018/5/7,51,52,98
2018/5/8,97,52,93
2018/5/9,95,46,115
2018/5/10,11,64,153
2018/5/11,41,77,103
2018/5/12,40,80,120
2018/5/13,55,64,125
2018/5/14,20,86,142
2018/5/15,63,76,102
2018/5/16,73,77,103
2018/5/17,147,38,73
2018/5/18,95,38,87
2018/5/19,15,41,118
2018/5/20,152,44,64
2018/5/21,132,44,65
2018/5/22,28,52,120
2018/5/23,41,54,121
2018/5/24,9,52,168
2018/5/25,30,57,160
2018/5/26,35,80,169
2018/5/27,70,50,104
2018/5/28,96,44,108
2018/5/29,189,46,80
2018/5/30,41,45,127
2018/5/31,58,64,131
2018/6/1,67,65,148
2018/6/2,5,49,205
2018/6/3,152,56,94
2018/6/4,44,50,146
2018/6/5,4,51,189
2018/6/6,18,52,184
2018/6/7,103,48,102
2018/6/8,45,41,123
2018/6/9,74,66,89
2018/6/10,187,44,76
2018/6/11,96,49,113
2018/6/12,45,48,148
2018/6/13,173,49,75
2018/6/14,93,55,113
2018/6/15,123,52,105
2018/6/16,13,68,161
2018/6/17,69,46,126
2018/6/18,29,59,134
2018/6/19,28,49,116
2018/6/20,26,54,150
2018/6/21,2,91,193
2018/6/22,4,99,170
2018/6/23,7,44,202
2018/6/24,9,44,201
2018/6/25,4,65,128
2018/6/26,36,82,109
2018/6/27,68,44,87
2018/6/28,104,18,78
2018/6/29,12,31,174
2018/6/30,96,37,91
2018/7/1,148,48,68
2018/7/2,48,38,98
2018/7/3,61,43,95
2018/7/4,16,44,144
2018/7/5,47,56,124
2018/7/6,49,64,104
2018/7/7,124,32,54
2018/7/8,94,42,59
2018/7/9,120,32,51
2018/7/10,41,61,83
2018/7/11,156,38,58
2018/7/12,41,48,92
2018/7/13,113,41,61
2018/7/14,133,44,62
2018/7/15,87,54,78
2018/7/16,10,80,130
2018/7/17,97,57,78
2018/7/18,4,71,141
2018/7/19,48,53,100
2018/7/20,9,49,148
2018/7/21,3,52,176
2018/7/22,74,62,94
2018/7/23,141,46,69
2018/7/24,296,16,34
2018/7/25,130,38,73
2018/7/26,163,38,61
2018/7/27,61,36,87
2018/7/28,21,54,129
2018/7/29,43,65,110
2018/7/30,3,69,161
2018/7/31,32,47,110
2018/8/1,16,54,123
2018/8/2,6,36,151
2018/8/3,9,42,155
2018/8/4,17,44,145
2018/8/5,138,34,69
2018/8/6,149,28,71
2018/8/7,156,37,63
2018/8/8,175,38,63
2018/8/9,157,22,74
2018/8/10,5,52,179
2018/8/11,80,59,109
2018/8/12,34,39,118
2018/8/13,104,40,74
2018/8/14,213,21,47
2018/8/15,299,17,35
2018/8/16,64,22,72
2018/8/17,15,36,121
2018/8/18,62,44,74
2018/8/19,117,28,63
2018/8/20,94,22,75
2018/8/21,87,35,84
2018/8/22,65,36,88
2018/8/23,102,37,89
2018/8/24,240,25,59
2018/8/25,4,34,165
2018/8/26,2,45,199
2018/8/27,28,45,134
2018/8/28,74,40,94
2018/8/29,135,27,67
2018/8/30,111,33,67
2018/8/31,24,44,85
2018/9/1,45,38,72
2018/9/2,91,40,59
2018/9/4,186,16,49
2018/9/5,92,21,75
2018/9/6,133,28,60
2018/9/7,231,18,42
2018/9/8,162,25,53
2018/9/9,81,32,85
2018/9/10,10,52,108
2018/9/11,7,42,120
2018/9/12,5,44,122
