指标名称,螺焦比,螺矿比
2013/2/21,2.153,
2013/2/22,2.1784,
2013/2/25,2.1833,
2013/2/26,2.1813,
2013/2/27,2.1712,
2013/2/28,2.1666,
2013/3/1,2.1927,
2013/3/4,2.1957,
2013/3/5,2.1868,
2013/3/6,2.187,
2013/3/7,2.2163,
2013/3/8,2.2479,
2013/3/11,2.2448,
2013/3/12,2.2474,
2013/3/13,2.2394,
2013/3/14,2.2694,
2013/3/15,2.2946,
2013/3/18,2.3031,
2013/3/19,2.2932,
2013/3/20,2.3011,
2013/3/21,2.2891,
2013/3/22,2.303,
2013/3/25,2.3159,
2013/3/26,2.3367,
2013/3/27,2.3454,
2013/3/28,2.3591,
2013/3/29,2.3981,
2013/4/1,2.3851,
2013/4/2,2.3539,
2013/4/3,2.3395,
2013/4/8,2.3567,
2013/4/9,2.3482,
2013/4/10,2.3681,
2013/4/11,2.3931,
2013/4/12,2.3967,
2013/4/15,2.409,
2013/4/16,2.4172,
2013/4/17,2.4235,
2013/4/18,2.411,
2013/4/19,2.3887,
2013/4/22,2.3993,
2013/4/23,2.3995,
2013/4/24,2.4065,
2013/4/25,2.4066,
2013/4/26,2.3953,
2013/5/2,2.4106,
2013/5/3,2.3956,
2013/5/6,2.3833,
2013/5/7,2.3972,
2013/5/8,2.4003,
2013/5/9,2.3888,
2013/5/10,2.3727,
2013/5/13,2.3438,
2013/5/14,2.3193,
2013/5/15,2.3224,
2013/5/16,2.3465,
2013/5/17,2.3355,
2013/5/20,2.3199,
2013/5/21,2.3074,
2013/5/22,2.2929,
2013/5/23,2.2983,
2013/5/24,2.2973,
2013/5/27,2.3034,
2013/5/28,2.3089,
2013/5/29,2.3007,
2013/5/30,2.3112,
2013/5/31,2.312,
2013/6/3,2.3467,
2013/6/4,2.3356,
2013/6/5,2.332,
2013/6/6,2.3569,
2013/6/7,2.3773,
2013/6/13,2.3904,
2013/6/14,2.3753,
2013/6/17,2.384,
2013/6/18,2.3955,
2013/6/19,2.4058,
2013/6/20,2.4563,
2013/6/21,2.3892,
2013/6/24,2.3786,
2013/6/25,2.3886,
2013/6/26,2.4021,
2013/6/27,2.4121,
2013/6/28,2.409,
2013/7/1,2.414,
2013/7/2,2.4198,
2013/7/3,2.5119,
2013/7/4,2.5311,
2013/7/5,2.5121,
2013/7/8,2.5246,
2013/7/9,2.5234,
2013/7/10,2.5415,
2013/7/11,2.4993,
2013/7/12,2.5172,
2013/7/15,2.5539,
2013/7/16,2.57,
2013/7/17,2.5368,
2013/7/18,2.5213,
2013/7/19,2.5007,
2013/7/22,2.4804,
2013/7/23,2.4899,
2013/7/24,2.4936,
2013/7/25,2.4973,
2013/7/26,2.4905,
2013/7/29,2.5041,
2013/7/30,2.5079,
2013/7/31,2.5058,
2013/8/1,2.4789,
2013/8/2,2.4767,
2013/8/5,2.4761,
2013/8/6,2.4878,
2013/8/7,2.4976,
2013/8/8,2.4807,
2013/8/9,2.4599,
2013/8/12,2.4268,
2013/8/13,2.4038,
2013/8/14,2.3776,
2013/8/15,2.3819,
2013/8/16,2.3966,
2013/8/19,2.3763,
2013/8/20,2.3804,
2013/8/21,2.3657,
2013/8/22,2.3518,
2013/8/23,2.3331,
2013/8/26,2.3052,
2013/8/27,2.3028,
2013/8/28,2.3264,
2013/8/29,2.3703,
2013/8/30,2.3699,
2013/9/2,2.336,
2013/9/3,2.3263,
2013/9/4,2.322,
2013/9/5,2.3184,
2013/9/6,2.3149,
2013/9/9,2.3183,
2013/9/10,2.3234,
2013/9/11,2.3186,
2013/9/12,2.3346,
2013/9/13,2.3325,
2013/9/16,2.3154,
2013/9/17,2.3372,
2013/9/18,2.3039,
2013/9/23,2.2946,
2013/9/24,2.2963,
2013/9/25,2.2929,
2013/9/26,2.2756,
2013/9/27,2.2783,
2013/9/30,2.3089,
2013/10/8,2.3257,
2013/10/9,2.3115,
2013/10/10,2.314,
2013/10/11,2.3122,
2013/10/14,2.2962,
2013/10/15,2.2709,
2013/10/16,2.2772,
2013/10/17,2.2782,
2013/10/18,2.2812,3.6523
2013/10/21,2.2598,3.6877
2013/10/22,2.2544,3.7259
2013/10/23,2.268,3.7648
