指标名称,全国建筑钢材成交量:主流贸易商:合计(日)
2018/7/19,210025.332
2018/7/20,175345.414
2018/7/23,226315.381
2018/7/24,160448.848
2018/7/25,180098.671
2018/7/26,169980.585
2018/7/27,228197
2018/7/30,238265.868
2018/7/31,191352.945
2018/8/1,169318
2018/8/2,138355.372
2018/8/3,192536
2018/8/6,213648.734
2018/8/7,189689.274
2018/8/8,169090
2018/8/9,159495.575
2018/8/10,185810
2018/8/13,254832
2018/8/14,171208
2018/8/15,156435
2018/8/16,155111
2018/8/17,228117
2018/8/20,227592.627
2018/8/21,151097.769
2018/8/22,165609
2018/8/23,139763.178
2018/8/24,182411.231
2018/8/27,150566.224
2018/8/28,168763.41
2018/8/29,188678.395
2018/8/30,127887.56
2018/8/31,157469.508
2018/9/3,188253
2018/9/4,200011
2018/9/5,155037
2018/9/6,221410
2018/9/7,203030
2018/9/10,218758.625
2018/9/11,143743.213
2018/9/12,169294
2018/9/13,191550.555
2018/9/14,210482.046
2018/9/17,162563
2018/9/18,201873.527
2018/9/19,184753
2018/9/20,164703.264
2018/9/21,205682.504
2018/9/25,172331.812
2018/9/26,228156
2018/9/27,210014.426
2018/9/28,211862
2018/9/29,232349.03
2018/9/30,185557
2018/10/8,268031.803
2018/10/9,239466.184
2018/10/10,203154.907
2018/10/11,191484.447
2018/10/12,232436.213
2018/10/15,244101
2018/10/16,184186
2018/10/17,222564.192
2018/10/18,169615.812
2018/10/19,201799.69
2018/10/22,224796.675
2018/10/23,176924.074
2018/10/24,199767
2018/10/25,184760.13
2018/10/26,218381.881
2018/10/29,185451.471
2018/10/30,192645
2018/10/31,169610.551
2018/11/1,170174.104
2018/11/2,184853.221
2018/11/5,192609
2018/11/6,143356.83
2018/11/7,137984.151
2018/11/8,158691.376
2018/11/9,160584.483
2018/11/12,159279
2018/11/13,189284.661
2018/11/14,199378.187
2018/11/15,149444.442
2018/11/16,164514.004
2018/11/19,153559.257
2018/11/20,131610.017
2018/11/21,154776.078
2018/11/22,168721.429
2018/11/23,152608
2018/11/26,152096.672
2018/11/27,148659.888
2018/11/28,214825.58
2018/11/29,158740.072
2018/11/30,164416.25
2018/12/3,197270.527
2018/12/4,160680
2018/12/5,165584
2018/12/6,122553
2018/12/7,162290.123
2018/12/10,123607.649
2018/12/11,134720.8
2018/12/12,153362.6
2018/12/13,192946.56
2018/12/14,164752
2018/12/17,175494
2018/12/18,150598
2018/12/19,154895
2018/12/20,182445
2018/12/21,177994.52
2018/12/24,178038
2018/12/25,146858.29
2018/12/26,152278.5
2018/12/27,140210
2018/12/28,146234
2018/12/29,135477
2019/1/2,145008.162
2019/1/3,168674
2019/1/4,151595
2019/1/7,168301.345
2019/1/8,129848
2019/1/9,129321
2019/1/10,119975
2019/1/11,136060
2019/1/14,149410
2019/1/15,104730
2019/1/16,108727
2019/1/17,140700
2019/1/18,130668
2019/1/21,104123
2019/1/22,88326
2019/1/23,70623
2019/1/24,60201
2019/1/25,51725
2019/2/13,17158
2019/2/14,16115
2019/2/15,21565
2019/2/18,43863
2019/2/19,45541
2019/2/20,57701
2019/2/21,93597
2019/2/22,128288.174
2019/2/25,147714
2019/2/26,155884
2019/2/27,135143.876
2019/2/28,138911.65
2019/3/1,226350
2019/3/4,200980
2019/3/5,152267
2019/3/6,158461.105
2019/3/7,204726.505
2019/3/8,157379.735
2019/3/11,193957.028
2019/3/12,267551
2019/3/13,192139.401
2019/3/14,173506.625
2019/3/15,191989
2019/3/18,258019
2019/3/19,210860
2019/3/20,174589
2019/3/21,186661.683
2019/3/22,183252.015
2019/3/25,190373.48
2019/3/26,167714
2019/3/27,192825.908
2019/3/28,165820.375
2019/3/29,200153.88
