日期,螺纹钢:美国:市场价,螺纹钢:欧盟:市场价,螺纹钢:日本:市场价,螺纹钢:独联体:市场价,螺纹钢:土耳其:市场价
2013/7/5,711.00 ,618.00 ,602.00 ,580.00 ,580.00 
2013/7/12,711.00 ,599.00 ,593.00 ,580.00 ,585.00 
2013/7/19,711.00 ,620.00 ,602.00 ,580.00 ,595.00 
2013/7/25,711.00 ,638.00 ,599.00 ,585.00 ,595.00 
2013/8/1,711.00 ,644.00 ,611.00 ,585.00 ,590.00 
2013/8/9,717.00 ,651.00 ,611.00 ,585.00 ,695.00 
2013/8/16,717.00 ,658.00 ,613.00 ,585.00 ,695.00 
2013/8/22,711.00 ,659.00 ,613.00 ,585.00 ,695.00 
2013/8/30,711.00 ,660.00 ,613.00 ,585.00 ,695.00 
2013/9/6,711.00 ,660.00 ,613.00 ,585.00 ,695.00 
2013/9/13,711.00 ,666.00 ,603.00 ,590.00 ,585.00 
2013/9/18,711.00 ,674.00 ,607.00 ,590.00 ,575.00 
2013/9/26,711.00 ,677.00 ,606.00 ,590.00 ,575.00 
2013/10/11,711.00 ,679.00 ,608.00 ,575.00 ,575.00 
2013/10/18,711.00 ,671.00 ,608.00 ,575.00 ,595.00 
2013/10/23,711.00 ,670.00 ,608.00 ,575.00 ,595.00 
2013/11/1,717.00 ,675.00 ,615.00 ,575.00 ,590.00 
2013/11/8,717.00 ,662.00 ,608.00 ,575.00 ,630.00 
2013/11/14,717.00 ,669.00 ,608.00 ,575.00 ,610.00 
2013/11/22,717.00 ,665.00 ,602.00 ,585.00 ,600.00 
2013/11/29,717.00 ,672.00 ,608.00 ,585.00 ,585.00 
2013/12/6,717.00 ,672.00 ,613.00 ,585.00 ,585.00 
2013/12/13,717.00 ,681.00 ,611.00 ,590.00 ,590.00 
2013/12/20,717.00 ,681.00 ,611.00 ,590.00 ,590.00 
2013/12/27,739.00 ,677.00 ,606.00 ,590.00 ,590.00 
